Type,Number Of Attacks,,,,,
Accomodation Barge,0,,,,,
Bulk Carrier,59,,,,,
Container,18,,,,,
Crew Boat,0,,,,,
Drilling Ship/Rig,1,,,,,
General Cargo,6,,,,,
Heavy Lift Vessel,1,,,,,
Heavy Load Carrier,0,,,,,
Landing Craft,1,,,,,
Maintenance Pontoon,0,,,,,
Ore Carrier,1,,,,,
Passenger Craft,0,,,,,
Pipe Layer Ship / Barge,0,,,,,
Pleasure Craft,0,,,,,
Refrigerated Cargo Ship,6,,,,,
Research Ship,0,,,,,
RO-RO,2,,,,,
Supply Ship,5,,,,,
Support Ship,2,,,,,
Tanker Asphalt,1,,,,,
Tanker Bunkering,0,,,,,
Tanker Chemichal,50,,,,,
Tanker Crude Oil,16,,,,,
Tanker FPSO / FSO,0,,,,,
Tanker LNG,2,,,,,
Tanker LPG,6,,,,,
Trawler / Fishing,12,,,,,
Offshore Tug / Tug & Barge,11,,,,,
Vehicle Carrier,1,,,,,
Yacht / Sailing Vessel,0,,,,,
