,,,,,,,,,,
,,,,,,,,,,
SE Asia,Indonesia,36,,,,,,,,
,Malacca Straits,NG,,,,,,,,
,Malaysia,11,,,,,,,,
,Philippines,10,,,,,,,,
,Singapore Straights,3,,,,,,,,
,Thailand,NG,,,,,,,,
,,,,,,,,,,
EAST Asia,China,3,,,,,,,,
,Vietnam,4,,,,,,,,
,,,,,,,,,,
Indian Sub Continent,Bangladesh,12,,,,,,,,
,India,6,,,,,,,,
,,,,,,,,,,
South America,Brazil,4,,,,,,,,
,Colombia,1,,,,,,,,
,Dominican Republic,NG,,,,,,,,
,Ecuador,4,,,,,,,,
,Guyana,2,,,,,,,,
,Haiti,3,,,,,,,,
,Mexico,NG,,,,,,,,
,Panama,NG,,,,,,,,
,Peru,4,,,,,,,,
,Venezuela,11,,,,,,,,
,,,,,,,,,,
Africa,Algeria,NG,,,,,,,,
,Angola,,,,,,,,,
,Benin,5,,,,,,,,
,Cameroon,7,,,,,,,,
,Dem. Republic of Congo,1,,,,,,,,
,Sao Tome & Principe,NG,,,,,,,,
,Egypt,NG,,,,,,,,
,Equatorial Guinea,NG,,,,,,,,
,Gabon,NG,,,,,,,,
,Ghana,10,,,,,,,,
,Guinea,3,,,,,,,,
,Gulf of Aden,1,,,,,,,,
,Ivory Coast,1,,,,,,,,
,Kenya,NG,,,,,,,,
,Liberia,NG,,,,,,,,
,Morocco,NG,,,,,,,,
,Mozambique,2,,,,,,,,
,Nigeria,48,,,,,,,,
,Siera Leone,NG,,,,,,,,
,Somalia,2,,,,,,,,
,South Africa,NG,,,,,,,,
,The Congo,6,,,,,,,,
,Togo,1,,,,,,,,
