SE Asia,Indonesia,26
,Malacca Straits,NG
,Malaysia,4
,Philippines,8
,Singapore Straights,23
,Thailand,1
,,
EAST Asia,China,NG
,Vietnam,4
,,
Indian Sub Continent,Bangladesh,4
,India,6
,,
South America,Brazil,7
,Colombia,1
,Dominican Republic,NG
,Ecuador,5
,Guyana,NG
,Haiti,5
,Mexico,4
,Panama,NG
,Peru,8
,Venezuela,NG
,,
Africa,Algeria,NG
,Angola,6
,Benin,11
,Cameroon,NG
,Dem. Republic of Congo,NG
,Sao Tome & Principe,2
,Egypt,NG
,Equatorial Guinea,3
,Gabon,2
,Ghana,9
,Guinea,5
,Gulf of Aden,NG
,Ivory Coast,3
,Kenya,NG
,Liberia,2
,Morocco,NG
,Mozambique,4
,Nigeria,35
,Siera Leone,NG
,Somalia,NG
,South Africa,NG
,The Congo,3
,Togo,3
