,,
,,
SE Asia,Indonesia,10
,Malacca Straits,NG
,Malaysia,4
,Philippines,6
,Singapore Straights,38
,Thailand,NG
,,
EAST Asia,China,NG
,Vietnam,2
,,
Indian Sub Continent,Bangladesh,7
,India,3
,,
South America,Brazil,5
,Colombia,NG
,Dominican Republic,NG
,Ecuador,NG
,Guyana,2
,Haiti,1
,Mexico,1
,Panama,NG
,Peru,12
,Venezuela,3
,,
Africa,Algeria,NG
,Angola,5
,Benin,NG
,Cameroon,NG
,Dem. Republic of Congo,1
,Sao Tome & Principe,NG
,Egypt,1
,Equatorial Guinea,2
,Gabon,NG
,Ghana,7
,Guinea,NG
,Gulf of Aden,NG
,Ivory Coast,2
,Kenya,NG
,Liberia,1
,Morocco,NG
,Mozambique,NG
,Nigeria,NG
,Siera Leone,1
,Somalia,NG
,South Africa,1
,The Congo,NG
,Togo,NG
